instancia,rota,posicao,no
cenario3_mes,3,23,605
cenario3_mes,3,24,604
cenario3_mes,3,25,603
cenario3_mes,3,26,602
cenario3_mes,3,27,601
cenario3_mes,3,28,600
cenario3_mes,3,29,599
cenario3_mes,3,30,598
cenario3_mes,3,31,597
cenario3_mes,3,32,596
cenario3_mes,3,33,595
cenario3_mes,3,34,594
cenario3_mes,3,35,593
cenario3_mes,3,36,591
cenario3_mes,3,37,590
cenario3_mes,3,38,589
cenario3_mes,3,39,588
cenario3_mes,3,40,587
cenario3_mes,3,41,586
cenario3_mes,3,42,585
cenario3_mes,3,43,584
cenario3_mes,3,44,580
cenario3_mes,3,45,579
cenario3_mes,3,46,578
cenario3_mes,3,47,577
cenario3_mes,3,48,576
cenario3_mes,3,49,575
cenario3_mes,3,50,574
cenario3_mes,3,51,573
cenario3_mes,3,52,572
cenario3_mes,3,53,571
cenario3_mes,3,54,568
cenario3_mes,3,55,566
cenario3_mes,3,56,565
cenario3_mes,3,57,564
cenario3_mes,3,58,563
cenario3_mes,3,59,562
cenario3_mes,3,60,561
cenario3_mes,3,61,560
cenario3_mes,3,62,559
cenario3_mes,3,63,558
cenario3_mes,3,64,557
cenario3_mes,3,65,556
cenario3_mes,3,66,555
cenario3_mes,3,67,554
cenario3_mes,3,68,553
cenario3_mes,3,69,552
cenario3_mes,3,70,551
cenario3_mes,3,71,550
cenario3_mes,3,72,549
cenario3_mes,3,73,548
cenario3_mes,3,74,547
cenario3_mes,3,75,546
cenario3_mes,3,76,545
cenario3_mes,3,77,544
cenario3_mes,3,78,543
cenario3_mes,3,79,536
cenario3_mes,3,80,535
cenario3_mes,3,81,534
cenario3_mes,3,82,533
cenario3_mes,3,83,532
cenario3_mes,3,84,531
cenario3_mes,3,85,530
cenario3_mes,3,86,529
cenario3_mes,3,87,528
cenario3_mes,3,88,527
cenario3_mes,3,89,526
cenario3_mes,3,90,44
cenario3_mes,3,91,519
cenario3_mes,3,92,518
cenario3_mes,3,93,517
cenario3_mes,3,94,513
cenario3_mes,3,95,511
cenario3_mes,3,96,507
cenario3_mes,3,97,503
cenario3_mes,3,98,501
cenario3_mes,3,99,4
cenario3_mes,4,0,397
cenario3_mes,4,1,26
cenario3_mes,4,2,387
cenario3_mes,4,3,379
cenario3_mes,4,4,348
cenario3_mes,4,5,271
cenario3_mes,4,6,268
cenario3_mes,4,7,221
cenario3_mes,4,8,212
cenario3_mes,4,9,177
cenario3_mes,4,10,142
cenario3_mes,4,11,134
cenario3_mes,4,12,112
cenario3_mes,4,13,65
cenario3_mes,4,14,412
cenario3_mes,4,15,419
cenario3_mes,4,16,514
cenario3_mes,4,17,509
cenario3_mes,4,18,498
cenario3_mes,4,19,491
cenario3_mes,4,20,437
cenario3_mes,4,21,430
cenario3_mes,4,22,427
cenario3_mes,4,23,425
cenario3_mes,4,24,408
cenario3_mes,4,25,405
cenario3_mes,4,26,404
cenario3_mes,4,27,396
cenario3_mes,4,28,378
cenario3_mes,4,29,362
cenario3_mes,4,30,358
cenario3_mes,4,31,352
cenario3_mes,4,32,349
cenario3_mes,4,33,335
cenario3_mes,4,34,244
cenario3_mes,4,35,243
cenario3_mes,4,36,218
cenario3_mes,4,37,214
cenario3_mes,4,38,211
cenario3_mes,4,39,193
cenario3_mes,4,40,192
cenario3_mes,4,41,180
cenario3_mes,4,42,178
cenario3_mes,4,43,155
cenario3_mes,4,44,151
cenario3_mes,4,45,123
cenario3_mes,4,46,119
cenario3_mes,4,47,115
cenario3_mes,4,48,114
cenario3_mes,4,49,110
cenario3_mes,4,50,109
cenario3_mes,4,51,108
cenario3_mes,4,52,107
cenario3_mes,4,53,106
cenario3_mes,4,54,105
cenario3_mes,4,55,104
cenario3_mes,4,56,97
cenario3_mes,4,57,88
cenario3_mes,4,58,87
cenario3_mes,4,59,86
cenario3_mes,4,60,53
cenario3_mes,4,61,50
cenario3_mes,4,62,351
cenario3_mes,4,63,621
cenario3_mes,4,64,582
cenario3_mes,4,65,669
cenario3_mes,4,66,668
cenario3_mes,4,67,667
cenario3_mes,4,68,666
cenario3_mes,4,69,665
cenario3_mes,4,70,664
cenario3_mes,4,71,663
cenario3_mes,4,72,662
cenario3_mes,4,73,661
cenario3_mes,4,74,660
cenario3_mes,4,75,659
cenario3_mes,4,76,658
cenario3_mes,4,77,657
cenario3_mes,4,78,656
cenario3_mes,4,79,655
cenario3_mes,4,80,654
cenario3_mes,4,81,653
cenario3_mes,4,82,652
cenario3_mes,4,83,651
cenario3_mes,4,84,649
cenario3_mes,4,85,648
cenario3_mes,4,86,647
cenario3_mes,4,87,646
cenario3_mes,4,88,645
cenario3_mes,4,89,644
cenario3_mes,4,90,643
cenario3_mes,4,91,642
cenario3_mes,4,92,641
cenario3_mes,4,93,639
cenario3_mes,4,94,638
cenario3_mes,4,95,637
cenario3_mes,4,96,636
cenario3_mes,4,97,5
cenario3_mes,4,98,6
cenario3_mes,4,99,471
cenario3_mes,5,0,421
cenario3_mes,5,1,373
cenario3_mes,5,2,355
cenario3_mes,5,3,216
cenario3_mes,5,4,162
cenario3_mes,5,5,150
cenario3_mes,5,6,128
cenario3_mes,5,7,116
cenario3_mes,5,8,113
cenario3_mes,5,9,78
cenario3_mes,5,10,46
cenario3_mes,5,11,45
cenario3_mes,5,12,43
cenario3_mes,5,13,23
cenario3_mes,5,14,22
cenario3_mes,5,15,27
cenario3_mes,5,16,650
cenario3_mes,5,17,424
cenario3_mes,5,18,350
cenario3_mes,5,19,640
cenario3_mes,5,20,625
cenario3_mes,5,21,624
cenario3_mes,5,22,583
cenario3_mes,5,23,542
cenario3_mes,5,24,541
cenario3_mes,5,25,539
cenario3_mes,5,26,537
cenario3_mes,5,27,525
cenario3_mes,5,28,512
cenario3_mes,5,29,510
cenario3_mes,5,30,508
cenario3_mes,5,31,505
cenario3_mes,5,32,502
cenario3_mes,5,33,494
