Concessionária ,Bairro,cep
Con1785,Santa Lucia,30350-580
Con1786,Barroca,30431-058
Con1787,Minas Brasil,30730-230
Con1788,Funcionarios,30140-086
Con1789,Buritis,30575-857
Con1790,Santa Efigenia,30110-018
Con1791,Gutierrez,30441-127
Con1792,Paqueta,31340-240
Con1793,Lourdes,30140-072
Con1794,Buritis,30575-740
Con1795,Caicara-Adelaide,30770-240
Con1796,Centro,30170-903
Con1797,Belvedere,30320-550
Con1798,Caicaras,30770-580
Con1799,Sagrada Familia,31030-220
Con1800,Luxemburgo,30380-530
Con1801,Nova Suissa,30421-330
Con1802,Sagrada Familia,31030-211
Con1803,Santa Efigenia,30240-410
Con1804,Buritis,30575-820
Con1805,Santa Amelia,31560-420
Con1806,Santa Efigenia,30130-094
Con1807,Savassi,30140-170
Con1808,Centro,30120-070
Con1809,Jardim Guanabara,31742-316
Con1810,TIROL,30692-675
Con1811,Jardim Pirineus,30285-734
Con1812,Sagrada Familia,31035-510
Con1813,Sao Salvador,30881-460
Con1814,Piraja,31910-350
Con1815,Buritis,30575-857
Con1816,Funcionarios,30110-921
Con1817,Buritis,30575-815
Con1818,Liberdade,31270-170
Con1819,Buritis,30492-040
Con1820,Guarani,31840-220
Con1821,Barreiro,30640-095
Con1822,Santa Rosa,31255-640
Con1823,Diamante Barreiro,30627-215
Con1824,Vera Cruz,30285-170
Con1825,Santo Agostinho,30190-090
Con1826,Caicaras,30770-100
Con1827,Salgado Filho,30550-610
Con1828,Lourdes,30160-042
Con1829,Sao Jose,31275-030
Con1830,Centro,30130-002
Con1831,Centro,30170-130
Con1832,Santo Antonio,30350-260
Con1833,Centro,30120-060
Con1834,Conjunto Taquaril,30295-160
Con1835,Santo Antonio,30350-120
Con1836,Calafate,30411-293
Con1837,Coracao de Jesus,30380-230
Con1838,Sao Joao Batista Venda Nova,31515-360
Con1839,Tupi B,31844-270
Con1840,Goiania,31950-480
Con1841,Coracao de Jesus,30380-260
Con1842,Castelo,31330-280
Con1843,Estoril,30494-170
Con1844,Cruzeiro,30310-110
Con1845,Cidade Nova,31170-190
Con1846,Prado,30411-200
Con1847,Centro,30180-001
Con1848,Santo Antonio,30330-220
Con1849,Sagrada Familia,31030-240
Con1850,Floramar,31840-260
Con1851,Leticia,31620-630
Con1852,Dom Bosco,30850-230
Con1853,Buritis,30575-817
Con1854,Sao Francisco,31255-210
Con1855,Camargos,30520-170
Con1856,Santa Efigenia,30130-060
Con1857,Paqueta,31330-572
Con1858,Sao Pedro,30330-050
Con1859,Gutierrez,30441-039
Con1860,Castelo,31330-296
Con1861,Ouro Preto,31340-170
Con1862,Alipio de Melo,30840-030
Con1863,Sion,30315-560
Con1864,Sao Pedro,30330-130
Con1865,Santa Efigenia,30110-017
Con1866,Centro,30190-910
Con1867,Funcionarios,30140-110
Con1868,Grajau,30431-121
Con1869,Salgado Filho,30550-530
Con1870,Palmares,31155-730
Con1871,Alto Vera Cruz,30285-550
Con1872,Sao Joao Batista Venda Nova,31535-510
Con1873,Alto Caicaras,30775-050
Con1874,Cidade Jardim,30110-051
Con1875,Lagoa,31578-040
Con1876,Belvedere,30320-200
Con1877,Conjunto Tunel Ibirite Barreiro,30662-570
Con1878,Serrano,30882-660
Con1879,Santa Tereza,31010-070
Con1880,Cardoso Barreiro,30626-400
Con1881,Sao Pedro,30330-090
Con1882,Prado,30411-135
Con1883,Aparecida,31235-180
Con1884,Buritis,30575-120
Con1885,Camargos,30520-320
Con1886,Copacabana,31540-540
Con1887,Ouro Preto,31330-670
Con1888,Nova Suissa,30421-125
Con1889,Rio Branco,31535-100
Con1890,Estoril,30494-310
Con1891,Barro Preto,30190-916
Con1892,Goiania,31950-310
Con1893,Bom Jesus,31230-640
Con1894,Savassi,30130-141
Con1895,Vila Cloris,31744-007
Con1896,Milionarios Barreiro,30620-040
Con1897,Venda Nova,31615-310
Con1898,Santa Margarida Barreiro,30640-240
Con1899,Castelo,31330-142
Con1900,Centro,30170-120
Con1901,Santa Lucia,30360-140
Con1902,Santo Antonio,30330-120
Con1903,Santo Agostinho,30180-121
Con1904,Estoril,30494-310
Con1905,Cruzeiro,30310-110
Con1906,Sagrada Familia,31035-560
Con1907,Lourdes,30180-140
Con1908,Santa Amelia,31560-300
Con1909,Sagrada Familia,31030-010
Con1910,Anchieta,30310-403
Con1911,Lajedo,31846-310
Con1912,Paqueta,31340-060
Con1913,Renascenca,31130-430
Con1914,Alto Barroca,30431-016
Con1915,Castelo,31330-310
Con1916,Minas Brasil,30730-240
Con1917,Havai,30555-140
Con1918,Funcionarios,30130-135
Con1919,Silveira,31140-390
Con1920,Aeroporto,31270-650
Con1921,Sao Francisco,31255-170
Con1922,Itapoa,31710-080
Con1923,Lourdes,30140-069
Con1924,Aeroporto,31270-650
Con1925,Alto dos Pinheiros,30530-080
