Concessionária ,Bairro,cep
Con1096,SION,30210-420
Con1097,Padre Eustaquio,30730-530
Con1098,Cachoeirinha,31130-220
Con1099,Belvedere,30320-200
Con1100,Savassi,30140-008
Con1101,Estoril,30494-085
Con1102,Estoril,30494-240
Con1103,Serra,30210-490
Con1104,Centro,30120-060
Con1105,DISTRITO INDUSTRIAL DO JATOBA,30670-020
Con1106,Santa Terezinha,31365-250
Con1107,Lagoinha Leblon Venda Nova,31575-460
Con1108,Caicara-Adelaide,30770-260
Con1109,Santo Antonio,30350-010
Con1110,ALTO DOS PINHEIROS,30530-300
Con1111,Buritis,30575-060
Con1112,Camargos,30520-540
Con1113,Nova Granada,30431-262
Con1114,Sao Francisco,31255-180
Con1115,Floramar,31742-093
Con1116,Santa Tereza,31010-220
Con1117,Sao Joao Batista Venda Nova,31520-100
Con1118,Centro,30120-060
Con1119,Santa Terezinha,31360-160
Con1120,Luxemburgo,30380-435
Con1121,Centro,30120-014
Con1122,Santa Amelia,31560-200
Con1123,Santo Agostinho,30180-098
Con1124,Nova Vista,31070-115
Con1125,Vale do Jatoba Barreiro,30664-260
Con1126,Indaia,31270-020
Con1127,Funcionarios,30130-918
Con1128,Santo Antonio,30350-070
Con1129,Carlos Prates,30710-010
Con1130,SANTA EFIGENIA,30270-330
Con1131,Funcionarios,30140-100
Con1132,Lindeia Barreiro,30690-050
Con1133,Industrias I Barreiro,30610-210
Con1134,Estoril,30494-310
Con1135,Belvedere,30320-690
Con1136,Nazare,31990-100
Con1137,Sao Luiz,31310-060
Con1138,Sagrada Familia,31035-570
Con1139,Prado,30411-177
Con1140,CDI Jatoba Barreiro,30664-002
Con1141,Castelo,31330-382
Con1142,Serra,30220-000
Con1143,Carlos Prates,30710-160
Con1144,Savassi,30130-138
Con1145,Ceu Azul,31545-330
Con1146,Savassi,30112-010
Con1147,Centro,30130-923
Con1148,Ipiranga,31140-590
Con1149,Prado,30411-127
Con1150,Uniao,31160-310
Con1151,Funcionarios,30112-020
Con1152,Padre Eustaquio,30720-410
Con1153,Santo Antonio,30110-043
Con1154,Belvedere,30320-570
Con1155,California,30855-450
Con1156,Padre Eustaquio,30720-402
Con1157,Savassi,30112-024
Con1158,Sion,30315-570
Con1159,Serra,30220-280
Con1160,Savassi,30130-145
Con1161,Carmo,30310-760
Con1162,Estoril,30494-280
Con1163,Santa Efigenia,30150-320
Con1164,Santo Antonio,30350-260
Con1165,Vila Cloris,31744-330
Con1166,Paqueta,31330-472
Con1167,Floresta,31110-050
Con1168,Ouro Preto,31310-130
Con1169,Barro Preto,30180-060
Con1170,Monte Azul,31872-690
Con1171,Palmares,31155-675
Con1172,Prado,30411-140
Con1173,Belvedere,30320-760
Con1174,Belvedere,30320-640
Con1175,Savassi,30130-174
Con1176,Itatiaia,31365-000
Con1177,Buritis,30575-160
Con1178,Santa Tereza,31015-040
Con1179,Cruzeiro,30310-160
Con1180,Caicaras,30775-210
Con1181,Santo Antonio,30350-190
Con1182,Mangabeiras,30315-080
Con1183,Coracao Eucaristico,30535-630
Con1184,Jardim Leblon,31540-200
Con1185,Jardim Vitoria,31975-270
Con1186,Pampulha,31270-400
Con1187,Santo Agostinho,30190-094
Con1188,Independencia Barreiro,30672-200
Con1189,Santa Tereza,31015-120
Con1190,Santo Agostinho,30140-085
Con1191,Castelo,30840-492
Con1192,FUNCIONARIOS,30140-111
Con1193,Gloria,30870-040
Con1194,Castelo,30840-430
Con1195,Ouro Preto,31310-240
Con1196,Trevo,31370-470
Con1197,Grajau,30431-202
Con1198,Santo Agostinho,30180-121
Con1199,Buritis,30575-110
Con1200,Grajau,30431-259
Con1201,Dom Joaquim,31920-130
Con1202,Betania,30590-430
Con1203,Calafate,30411-460
Con1204,Cidade Nova,31170-270
Con1205,Diamante,30627-230
Con1206,Barro Preto,30190-130
Con1207,Inconfidencia,30820-550
Con1208,Dom Joaquim,31170-679
Con1209,Buritis,30575-160
Con1210,Belvedere,30320-670
Con1211,Liberdade,31270-310
Con1212,Santa Amelia,31560-400
Con1213,Padre Eustaquio,30720-370
Con1214,Funcionarios,30110-035
Con1215,Independencia Barreiro,30666-630
Con1216,Estoril,30494-010
Con1217,Cruzeiro,30310-330
Con1218,SANTO AGOSOTINHO,30170-111
Con1219,Santa Lucia,30360-663
Con1220,Itapoa,31710-400
Con1221,Nova Floresta,31140-250
Con1222,Planalto,31730-670
Con1223,Lourdes,30170-088
Con1224,Sion,30315-460
Con1225,Industrias I Barreiro,30610-270
Con1226,Grajau,30431-221
Con1227,Barroca,30431-054
Con1228,Carlos Prates,30710-580
Con1229,BARRO PRETO,30170-110
Con1230,Palmares,31160-560
Con1231,Castelo,31330-110
Con1232,Salgado Filho,30550-000
Con1233,Serrano,30881-540
Con1234,Nova Cachoeirinha,31250-530
Con1235,Lourdes,30170-088
Con1236,Savassi,30112-024
Con1237,Padre Eustaquio,30730-440
Con1238,Santa AmAlia,31555-120
Con1239,Uniao,31160-340
Con1240,Santa Monica,31520-420
Con1241,Bonsucesso,30622-280
Con1242,Santa Ines,31080-140
Con1243,Cidade Jardim,30380-002
Con1244,Estoril,30494-170
Con1245,Anchieta,30310-386
Con1246,Jaqueline,31748-466
Con1247,Palmeiras,30575-410
Con1248,Jardim Montanhes,30750-010
Con1249,Nova Suissa,30421-223
Con1250,Buritis,30493-030
Con1251,Belvedere,30320-300
Con1252,Buritis,30575-160
Con1253,Liberdade,31270-305
Con1254,Centro,30190-903
Con1255,Sion,30320-000
Con1256,Prado,30411-052
Con1257,Padre Eustaquio,30720-350
Con1258,Savassi,30140-136
Con1259,Prado,30411-023
Con1260,Gutierrez,30441-063
Con1261,Estoril,30494-085
Con1262,Funcionarios,30112-020
Con1263,Santo Agostinho,30190-120
Con1264,Carlos Prates,30710-010
Con1265,Planalto,31720-190
Con1266,Copacabana,31540-550
Con1267,Sion,30320-060
Con1268,Estoril,30494-450
Con1269,Serra,30220-270
Con1270,Jardim dos Comerciarios Venda Nova,31640-565
Con1271,Teixeira Dias Barreiro,30644-220
Con1272,Paraiso,30270-102
Con1273,Nova Suissa,30421-296
Con1274,Carmo,30330-000
Con1275,Centro,30190-020
Con1276,Santa Cruz Barreiro,30644-195
Con1277,Lourdes,30170-088
Con1278,Carlos Prates,30710-480
Con1279,Estoril,30494-170
Con1280,Centro,30120-908
Con1281,Nova Cintra,30516-070
Con1282,Belvedere,30320-670
Con1283,Santa Efigenia,30150-225
Con1284,Barreiro,30640-480
Con1285,Alipio de Melo,30840-020
Con1286,Coqueiros,30880-420
Con1287,Cachoeirinha,31130-192
Con1288,ALTO DOS PINHEIROS,30530-430
Con1289,Sao Salvador,30881-460
Con1290,Santa Efigenia,30150-240
Con1291,Esplanada,30280-200
Con1292,Savassi,30130-171
Con1293,Miramar Barreiro,30644-100
Con1294,Serra,30220-170
Con1295,Camargos,30525-430
Con1296,Estoril,30494-170
Con1297,Rio Branco,31530-574
Con1298,Planalto,31720-260
Con1299,Barro Preto,30140-093
Con1300,Cidade Jardim,30380-060
Con1301,Sao Francisco,31255-056
Con1302,Venda Nova,31615-250
Con1303,SINIMBU,31530-570
Con1304,Sao Luiz,31270-820
Con1305,Buritis,30493-180
Con1306,Jardim Atlantico,31560-000
Con1307,Camargos,30525-390
Con1308,Savassi,30130-138
Con1309,Tirol Barreiro,30662-270
Con1310,Buritis,30575-180
Con1311,Santa Monica,31530-160
Con1312,Funcionarios,30130-913
Con1313,Nova Floresta,31140-300
Con1314,Dom Bosco,30830-093
Con1315,Funcionarios,30140-901
Con1316,Ceu Azul,31578-300
Con1317,Industrias I Barreiro,30610-030
Con1318,Santo Agostinho,30110-062
Con1319,Ouro Preto,31310-350
Con1320,Tupi B,31844-080
Con1321,Nazare,31990-350
Con1322,Lourdes,30140-082
Con1323,SANTA EFIGENIA,30240-390
Con1324,Bandeirantes Pampulha,31340-350
Con1325,Renascenca,31130-070
Con1326,Alto Barroca,30431-012
Con1327,Caicaras,31230-280
Con1328,Cachoeirinha,31130-152
Con1329,Santo Agostinho,30190-090
Con1330,Buritis,30575-255
Con1331,Santa Lucia,30360-630
Con1332,Sao Jose,31275-000
Con1333,Estoril,30455-600
Con1334,Lourdes,30180-120
Con1335,Jardim Atlantico,31560-000
Con1336,Santa Tereza,31010-070
Con1337,Sagrada Familia,31030-100
Con1338,Luxemburgo,30380-403
Con1339,Estoril,30494-170
Con1340,Planalto,31720-000
Con1341,Carlos Prates,30710-602
Con1342,Centro,30170-907
Con1343,Goiania,31950-380
Con1344,Santo Antonio,30330-230
Con1345,Pilar,30390-260
Con1346,Cruzeiro,30310-140
Con1347,Funcionarios,30140-100
Con1348,Anchieta,30310-530
Con1349,Barreiro,30640-000
Con1350,Jardim Leblon,31540-000
Con1351,Padre Eustaquio,30720-320
Con1352,Caicaras,30770-010
Con1353,DONA CLARA,31255-620
Con1354,Diamante Barreiro,30644-210
Con1355,CinquentenArio,30570-080
Con1356,Jaragua,31270-365
Con1357,Jardim Atlantico,31560-000
Con1358,Caicaras,30775-240
Con1359,Dona Clara,31260-210
Con1360,Santa Cruz,31155-004
Con1361,Savassi,30112-010
Con1362,Itapoa,31710-110
Con1363,Gloria,30880-180
Con1364,Savassi,30140-907
Con1365,Belvedere,30320-670
Con1366,Centro,30130-923
Con1367,Nova Suissa,30421-118
Con1368,Santo Agostinho,30180-061
Con1369,Estoril,30455-610
Con1370,Lourdes,30180-150
Con1371,Ouro Preto,31310-520
Con1372,Cinquentenario,30570-080
Con1373,Barro Preto,30190-003
Con1374,Minas Brasil,30730-390
Con1375,Vista Alegre,30518-020
Con1376,Santa Cruz,31150-690
Con1377,Funcionarios,30130-138
Con1378,Lourdes,30160-046
Con1379,Bonfim,31210-460
Con1380,Olhos D'Agua,30390-080
Con1381,Gutierrez,30441-070
Con1382,Colegio Batista,31110-080
Con1383,SAo Francisco,31255-180
Con1384,Serra,30220-000
Con1385,Sion,30315-570
Con1386,Jardim Montanhes,30730-650
Con1387,Dona Clara,31260-270
Con1388,Santa Efigenia,30130-090
Con1389,Funcionarios,30110-021
Con1390,Renascenca,31130-400
Con1391,Aparecida,31235-012
Con1392,Sion,30315-422
Con1393,Buritis,30575-815
Con1394,Cidade Nova,31170-160
Con1395,Aeroporto,31270-383
Con1396,Indaia,31270-150
Con1397,Copacabana,31540-550
Con1398,Estoril,30494-080
Con1399,Carmo,30310-770
Con1400,Fernao Dias,31920-350
Con1401,Mangueiras Barreiro,30666-330
Con1402,Lajedo,31844-470
Con1403,Cachoeirinha,31130-080
Con1404,Buritis,30575-834
Con1405,Alipio de Melo,30840-200
Con1406,Rio Branco,31535-000
Con1407,Coracao Eucaristico,30535-610
Con1408,Alto Barroca,30431-025
Con1409,SAVASSI,30130-138
Con1410,Diamante Barreiro,30627-155
Con1411,Acaiaca,31995-150
Con1412,Ceu Azul,31585-170
Con1413,Funcionarios,30140-100
Con1414,Funcionarios,30110-035
Con1415,Sao Geraldo,31050-740
Con1416,Padre Eustaquio,30720-400
Con1417,Buritis,30575-834
Con1418,Ouro Preto,31320-262
Con1419,Barro Preto,30140-093
Con1420,Ipiranga,31160-120
Con1421,Caicara-Adelaide,30770-400
Con1422,Padre Eustaquio,30730-500
Con1423,Planalto,31720-300
Con1424,Santa Monica,31525-150
Con1425,Mangueiras Barreiro,30666-235
Con1426,Vera Cruz,30285-180
Con1427,Santa Efigenia,30110-915
Con1428,Santa Efigenia,30150-281
Con1429,Candelaria,31535-522
Con1430,Prado,30411-195
Con1431,Copacabana,31540-550
Con1432,Alto Barroca,30431-001
Con1433,Cidade Nova,31170-360
Con1434,Santa Branca,31565-480
Con1435,Minas Brasil,30535-640
Con1436,Camargos,30520-540
Con1437,Cidade Nova,31170-024
Con1438,Ceu Azul,31545-150
Con1439,Centro,30180-903
Con1440,Juliana,31744-684
Con1441,Castelo,31330-180
Con1442,Nova Granada,30431-375
Con1443,Jardim America,30421-470
Con1444,Barro Preto,30180-090
Con1445,Venda Nova,31660-000
Con1446,Funcionarios,30150-313
Con1447,Graca,31140-020
Con1448,Itapoa,31710-050
Con1449,Gutierrez,30441-106
Con1450,Barro Preto,30140-083
Con1451,Buritis,30575-100
Con1452,Padre Eustaquio,30730-530
Con1453,Jaqueline,31748-506
Con1454,Savassi,30140-171
Con1455,Caicaras,30770-550
Con1456,Belvedere,30320-400
Con1457,ALPES,30380-103
Con1458,Horto,31015-025
Con1459,Ceu Azul,31585-210
Con1460,Rio Branco,31530-560
Con1461,Ceu Azul,31578-500
Con1462,Jardim Leblon,31540-360
Con1463,Guarani,31840-110
Con1464,Gutierrez,30441-001
Con1465,Sao Luiz,31270-740
Con1466,Industrias I Barreiro,30610-010
Con1467,Mangueiras Barreiro,30666-340
Con1468,Gloria,30880-180
Con1469,Sion,30320-135
Con1470,NOVA GAMELEIRA,30510-250
Con1471,Santo Agostinho,30190-118
Con1472,Mantiqueira,31655-700
Con1473,Carmo,30330-000
Con1474,Maria Virginia,31155-680
Con1475,Cinquentenario,30570-080
Con1476,Venda Nova,31615-250
Con1477,Caicara-Adelaide,30720-520
Con1478,Santa Amelia,31560-300
Con1479,Trevo,31545-230
Con1480,Prado,30411-120
Con1481,Barroca,30431-072
Con1482,Nova Granada,30431-315
Con1483,Alipio de Melo,30830-460
Con1484,Lourdes,30140-087
Con1485,Funcionarios,30130-138
Con1486,Buritis,30493-175
Con1487,Belvedere,30320-540
Con1488,Colegio Batista,31110-170
Con1489,Anchieta,30310-540
Con1490,Carlos Prates,30710-360
Con1491,Santa Branca,31565-200
Con1492,Universitario,31255-460
Con1493,Sao Jose,31275-050
Con1494,Sagrada Familia,31030-211
Con1495,Sao Francisco,31255-170
Con1496,Planalto,31720-180
Con1497,Joao Pinheiro,30530-140
Con1498,Buritis,30575-833
Con1499,Comiteco,30315-380
Con1500,Funcionarios,30110-042
Con1501,Gutierrez,30441-152
Con1502,Belvedere,30320-670
Con1503,Ceu Azul,31580-360
Con1504,Buritis,30575-833
Con1505,Savassi,30112-024
Con1506,Padre Eustaquio,30720-430
Con1507,Lourdes,30180-150
Con1508,Sion,30320-050
Con1509,Belvedere,30320-670
Con1510,Coracao Eucaristico,30535-450
Con1511,Jardim Felicidade,31742-500
Con1512,Carlos Prates,30710-280
Con1513,Tupi A,31842-570
Con1514,Planalto,31720-180
Con1515,Santa Lucia,30360-630
Con1516,Engenho Nogueira,31320-610
Con1517,Santo Antonio,30350-180
Con1518,Buritis,30575-843
Con1519,Sao Luiz,31270-760
Con1520,Cenaculo,31615-450
Con1521,Savassi,30140-111
Con1522,Cinquentenario,30570-010
Con1523,Dona Clara,31260-340
Con1524,Madre Gertrudes,30512-740
Con1525,Funcionarios,30140-110
Con1526,Sao Joao Batista Venda Nova,31510-550
Con1527,FUNCIONARIOS,30130-175
Con1528,Lourdes,30180-101
Con1529,Santo Antonio,30350-060
Con1530,Dom Bosco,30830-090
Con1531,Centro,30170-016
Con1532,Centro,30190-901
Con1533,Estoril,30494-015
Con1534,Manacas,30840-563
Con1535,Prado,30410-010
Con1536,Pampulha,31270-400
Con1537,Savassi,30130-145
Con1538,Buritis,30493-145
Con1539,Buritis,30575-857
Con1540,Minas Brasil,30730-380
Con1541,Sagrada Familia,31035-320
Con1542,Sagrada Familia,31030-010
Con1543,Cidade Nova,31170-030
Con1544,Casa Branca,31050-050
Con1545,Planalto,31730-500
Con1546,Beija Flor,31998-266
Con1547,Cidade Nova,31170-170
Con1548,Paqueta,31330-480
Con1549,Distrito Industrial do Jatoba Barre,30668-271
Con1550,Floresta,31015-434
Con1551,Prado,30411-110
Con1552,Aparecida,31235-010
Con1553,Belvedere,30320-200
Con1554,Carlos Prates,30710-580
Con1555,Monte Azul,31872-780
Con1556,Padre Eustaquio,30720-420
Con1557,Santa Amelia,31560-420
Con1558,Anchieta,30310-530
Con1559,Padre Eustaquio,30730-130
Con1560,Venda Nova,31615-310
Con1561,Liberdade,31270-180
Con1562,Jaragua,31270-370
Con1563,Grajau,30431-183
Con1564,Funcionarios,30130-151
Con1565,Coqueiros,30880-420
Con1566,Sao Francisco,31255-170
Con1567,Centro,30160-011
Con1568,Vila Cloris,31744-128
Con1569,Cachoeirinha,31130-470
Con1570,Santa Efigenia,30130-060
Con1571,Lourdes,30170-122
Con1572,Funcionarios,30140-110
Con1573,Engenho Nogueira,31310-260
Con1574,Centro,30170-111
Con1575,Etelvina Carneiro,31746-120
Con1576,Anchieta,30310-403
Con1577,Carmo,30310-370
Con1578,Santa Lucia,30360-450
Con1579,Buritis,30575-210
Con1580,Santa Efigenia,30150-242
Con1581,Santa Efigenia,30150-320
Con1582,Belmonte,31870-470
Con1583,Cruzeiro,30310-230
Con1584,Nova Suissa,30421-169
Con1585,Lourdes,30170-088
Con1586,Ceu Azul,31580-500
Con1587,Sao Joao Batista Venda Nova,31515-280
Con1588,Maria Goretti,31920-710
Con1589,Lourdes,30140-061
Con1590,Belvedere,30320-690
Con1591,Liberdade,31270-222
Con1592,Estrela do Oriente,30580-353
Con1593,Vitoria,31970-710
Con1594,Floresta,30150-200
Con1595,Vila Oeste,30532-060
Con1596,Sao Cristovao,31230-230
Con1597,Nova Granada,30431-320
Con1598,Venda Nova,31610-090
Con1599,Calafate,30411-510
Con1600,Santa Ines,31080-170
Con1601,Bonfim,31210-420
Con1602,Sao Francisco,31255-170
Con1603,Uniao,31170-650
Con1604,Lourdes,30140-072
Con1605,Carlos Prates,30710-200
Con1606,Dona Clara,31260-230
Con1607,Santa Efigenia,30150-224
Con1608,Alto Barroca,30431-001
Con1609,Cidade Nova,31170-230
Con1610,Serra,30210-530
Con1611,Cenaculo,31615-190
Con1612,Sao Joao Batista Venda Nova,31520-330
Con1613,Nova Gameleira,30510-180
Con1614,Barreiro,30642-120
Con1615,Serra,30220-000
Con1616,Floresta,30110-008
Con1617,Coracao de Jesus,30380-260
Con1618,Serra,30210-580
Con1619,Buritis,30493-175
Con1620,Santo Agostinho,30180-121
Con1621,Funcionarios,30140-120
Con1622,Gutierrez,30441-155
Con1623,Padre Eustaquio,30720-404
Con1624,Barro Preto,30190-130
Con1625,InconfidAncia,30820-230
Con1626,Lourdes,30140-069
Con1627,Funcionarios,30110-921
Con1628,Castelo,31330-290
Con1629,Braunas,31365-490
Con1630,Comiteco,30315-350
Con1631,Trevo,31545-200
Con1632,Engenho Nogueira,31320-610
Con1633,Funcionarios,30140-086
Con1634,Gloria,30870-125
Con1635,Savassi,30150-370
Con1636,Barreiro,30640-050
Con1637,Barro Preto,30190-062
Con1638,Belvedere,30320-570
Con1639,Cardoso Barreiro,30626-710
Con1640,Nova Suissa,30421-296
Con1641,Belvedere,30320-670
Con1642,Brasil Industrial Barreiro,30626-130
Con1643,Gutierrez,30441-082
Con1644,Sao Geraldo,31050-530
Con1645,Santa Amelia,31555-000
Con1646,CONCORDIA,31110-050
Con1647,Planalto,31720-370
Con1648,Barroca,30431-054
Con1649,Padre Eustaquio,30720-100
Con1650,LOURDES,30160-042
Con1651,Maria Helena,31680-340
Con1652,Centro,30130-004
Con1653,Gutierrez,30441-008
Con1654,Renascenca,31130-750
Con1655,Serra,30220-260
Con1656,Savassi,30140-170
Con1657,Santa Lucia,30350-570
Con1658,Floramar,31742-084
Con1659,Trevo,31545-210
Con1660,Jaragua,31270-390
Con1661,Centro,30111-000
Con1662,Barroca,30431-089
Con1663,Santo Agostinho,30190-090
Con1664,CIDADE NOVA,31160-282
Con1665,Santa Rosa,31255-674
Con1666,Caicara-Adelaide,30770-370
Con1667,Concordia,31110-600
Con1668,Funcionarios,30130-138
Con1669,Coracao de Jesus,30380-630
Con1670,Bonfim,31210-650
Con1671,Santa Lucia,30360-440
Con1672,Lagoinha Leblon Venda Nova,31575-080
Con1673,Castelo,31330-382
Con1674,Minaslandia P Maio,31810-375
Con1675,Cachoeirinha,31150-000
Con1676,Centro,30120-054
Con1677,SANTO ANTONIO,30350-190
Con1678,SINIMBU,31530-590
Con1679,Ouro Preto,31310-520
Con1680,Camargos,30520-250
Con1681,Belvedere,30320-400
Con1682,Santa Tereza,31010-070
Con1683,Sagrada Familia,31030-010
Con1684,Santo Antonio,30330-220
Con1685,Caicaras,30770-190
Con1686,California,30855-450
Con1687,Uniao,31170-660
Con1688,Guarani,31814-620
Con1689,Gloria,30870-100
Con1690,Centro,30120-082
Con1691,Sao Lucas,30240-270
Con1692,Vista do Sol,31990-545
Con1693,Serra,30220-270
Con1694,Carlos Prates,30710-240
Con1695,Sao Francisco,31255-070
Con1696,Pampulha,31310-070
Con1697,Castelo,30840-500
Con1698,Bandeirantes Pampulha,31340-710
Con1699,Santo Agostinho,30170-048
Con1700,Santa Branca,31565-020
Con1701,Caicaras,31230-100
Con1702,Barreiro,30640-100
Con1703,Anchieta,30310-510
Con1704,Lourdes,30170-002
Con1705,Jardim Guanabara,31742-312
Con1706,SANTA BRANCA,31255-340
Con1707,Juliana,31744-684
Con1708,Gutierrez,30441-008
Con1709,Castanheira Barreiro,30668-160
Con1710,Jaqueline,31748-466
Con1711,Sion,30315-490
Con1712,Lindeia Barreiro,30692-160
Con1713,Santo Agostinho,30170-048
Con1714,Santa Monica,31525-020
Con1715,Santa Margarida Barreiro,30640-230
Con1716,Sion,30315-520
Con1717,Gloria,30830-350
Con1718,Jardim Felicidade,31742-630
Con1719,Cinquentenario,30570-000
Con1720,Ipiranga,31160-440
Con1721,Sao Joao Batista Venda Nova,31515-200
Con1722,Salgado Filho,30550-090
Con1723,Novo Gloria,30881-520
Con1724,Calafate,30411-575
Con1725,Carlos Prates,30710-450
Con1726,Savassi,30112-010
Con1727,Sao Luiz,31275-070
Con1728,Alto Caicaras,30750-430
Con1729,Sagrada Familia,31035-430
Con1730,Estoril,30494-310
Con1731,Ipiranga,31160-440
Con1732,Sion,30315-500
Con1733,Boa Vista,31060-230
Con1734,Santa Efigenia,30150-274
Con1735,Lourdes,30140-082
Con1736,Lourdes,30140-069
Con1737,Barro Preto,30190-003
Con1738,Camargos,30520-310
Con1739,Estoril,30494-270
Con1740,Caicara-Adelaide,30750-160
Con1741,Buritis,30575-740
Con1742,Santa Terezinha,31360-200
Con1743,Piraja,31910-700
Con1744,SANTA TEREZINHA,31360-280
Con1745,Castelo,31330-090
Con1746,Paqueta,31330-572
Con1747,Pindorama,30865-430
Con1748,Tirol Barreiro,30662-400
Con1749,Barro Preto,30140-083
Con1750,Savassi,30140-081
Con1751,Lourdes,30180-124
Con1752,Caicaras,30775-330
Con1753,Padre Eustaquio,30720-100
Con1754,Sion,30315-410
Con1755,Santa Efigenia,30150-242
Con1756,Ipiranga,31160-260
Con1757,Sao Joao Batista Venda Nova,31515-100
Con1758,Sion,30320-000
Con1759,Buritis,30575-834
Con1760,Santa Monica,31525-020
Con1761,Minascaixa,31610-340
Con1762,Savassi,30112-010
Con1763,Centro,30180-116
Con1764,Cidade Jardim,30380-002
Con1765,Belvedere,30320-660
Con1766,Barreiro,30640-020
Con1767,Vista Alegre,30514-430
Con1768,Cruzeiro,30310-280
Con1769,Carmo,30310-010
Con1770,Ouro Preto,31330-670
Con1771,Lourdes,30180-118
Con1772,Gutierrez,30441-023
Con1773,Lourdes,30170-010
Con1774,Tirol Barreiro,30662-480
Con1775,Planalto,31730-640
Con1776,Lourdes,30140-069
Con1777,Vila Oeste,30532-060
Con1778,Paraiso,30270-440
Con1779,Buritis,30492-020
Con1780,Ouro Preto,31340-050
Con1781,Savassi,30112-010
Con1782,Colegio Batista,31110-090
Con1783,Santa Efigenia,30150-242
Con1784,FUNCIONARIOS,30130-141
